ANGUILLA 	VP2EIH
ANTIGUA & BARBUDA 	V26K
ARGENTINA 	LT6M
AUSTRALIA 	VK3AXI
AZORES 	CU8AF
BARBADOS 	8P6ET
BELIZE 	V31MA
BERMUDA 	VP9I
BONAIRE 	PJ4EL
BRAZIL 	PY2PT
CANADA 	VA3MJR
CANARY ISLANDS 	EA8TN
CAPE VERDE 	D4Z
CAYMAN ISLANDS 	ZF1A
COLOMBIA 	HK3LRB
COSTA RICA 	TI200I
CUBA 	CO3DK
CURACAO 	PJ2T
DOMINICAN REPUBLIC 	HI8RD
ECUADOR 	HC2AO
ENGLAND 	G0DBE
EUROPEAN RUSSIA 	RK4FF
FRANCE 	F6DZU
FRENCH GUIANA 	FY5KE
GUADELOUPE 	FG1GW
HAWAII 	NH7QH
HUNGARY 	HA1RB
IRELAND 	EI100C
ITALY 	IW2ILQ
JAPAN 	JR7VHZ
MARTINIQUE 	FM5BH
MAURITANIA 	5T5PA
NETHERLANDS 	PD7RF
NEW ZEALAND 	ZM4T
PUERTO RICO 	WP4J
SAINT LUCIA 	J68HZ
SLOVENIA 	S52D
SPAIN 	EA1IOK
TURKS & CAICOS ISLANDS 	VP5M
UNITED STATES OF AMERICA 	K6SZQ
US VIRGIN ISLANDS 	NP2X
